id;intitule;description_projet;type;etape;date_creation;date_fin
1;Technicien;Persevering program Account;FORMATION;DEVELOPPEMENT;2022-08-23;2022-08-24
2;mobile world-class systems;Administrateur Metal Account;ETUDE;MISE_EN_EXPLOITATION;2022-08-24;2022-08-24
3;harness e-services Buckinghamshire;Gambie;INTEGRATION;MISE_EN_SERVICE;2022-08-24;2022-08-24
4;Bedfordshire;a granular;AUTRE;CONCEPTION;2022-08-24;2022-08-24
5;c;fault-tolerant;INTEGRATION;NON_RETENU;2022-08-24;2022-08-24
6;SQL;up PNG matrix;AUTRE;MISE_EN_SERVICE;2022-08-24;2022-08-24
7;compressing parse a;a Lepic;AUTRE;PRESENTATION_MAQUETAGE;2022-08-24;2022-08-23
8;Investment SAS;Fundamental next-generation;FORMATION;MISE_EN_EXPLOITATION;2022-08-24;2022-08-24
9;solutions;Riyal;AUDITE;DEVELOPPEMENT;2022-08-24;2022-08-24
10;Caumartin;Handcrafted real-time mint;AUTRE;CONCEPTION;2022-08-24;2022-08-24
